Model,Accuracy,F1Weighted,PrecisionWeighted,RecallWeighted,AUC,TrainingSeconds
Logistic Regression,0.6256349883199229,0.6158865857037953,0.6224344931841099,0.6256349883199229,0.656259871997708,0.5839595999568701
Random Forest,0.6169768994030183,0.6164001758036657,0.6160076181690924,0.6169768994030183,0.6576386123858562,9.096385199925862
XGBoost,0.6619730060439765,0.6512076032014356,0.6632439316210725,0.6619730060439765,0.7133735762461262,2.964159300085157
