Fraction,Rows,PolarsSeconds,PandasSeconds,Speedup
25,134845,0.021889499970711768,0.11863146671870102,5.41956037723248
50,269691,0.04813290003221482,0.23979693332997462,4.981975596099158
75,404537,0.049888000008650124,0.3452800000086427,6.92110327030096
100,539383,0.05619470002905776,0.5239856000213573,9.324466537776857
